Code,PH,Humidity(in),temperature,Humidity(out),weigh(g),result
B42,7,6,25,75,50,bad
B43,7,7,25,75,70,normal
B43,7,4.7,25,75,35,bad
B43,7,6.7,25,75,60,normal
B44,7,8,25,75,90,very good
B44,7,5,25,75,40,bad
B44,7.2,5,25,75,40,bad
B45,7,8.8,25,75,110,very good
B45,7.4,5.8,25,75,50,bad
B46,7,7.8,25,75,80,good
B46,7.5,5,25,75,40,bad
B47,7,4.5,25,75,30,very bad
B47,7,5.2,25,75,40,bad
B47,7.3,5,25,75,40,bad
B48,7,9,25,75,100,very good
B48,7.4,4.5,25,75,30,very bad
B49,7,7.2,25,75,70,normal
B49,7.3,4.6,25,75,30,very bad
B50,7.2,5,25,75,40,bad
B50,7.2,7.5,25,75,70,normal
B51,7,8.2,25,75,90,good
B51,7.2,6.5,25,75,60,normal
B52,7,7.3,25,75,70,normal
B52,7.5,5,25,75,40,bad
B53,7,8.2,25,75,90,good
B53,7.6,6,25,75,50,bad
B54,7,6.8,25,75,60,normal
B54,7.2,7.5,25,75,70,normal
B55,7,4,25,75,20,very bad
B55,7.2,7.8,25,75,80,good
B56,7.8,4.8,25,75,0,faile
B57,7,7.8,25,75,80,good
B57,7.5,5.3,25,75,40,bad
B58,7,7.7,25,75,80,good
B58,7,8,25,75,80,good
B59,7.8,4.8,25,75,0,faile
B60,7,7,25,75,70,normal
B60,7.2,8,25,75,80,good
B61,7.3,7.8,25,75,80,good
B62,7,8.5,25,75,90,good
B63,7,4.7,25,75,30,very bad
B63,7.2,9.2,25,75,120,very good
B64,7,7.9,25,75,80,good
B64,7.3,4.8,25,75,40,bad
B65,7,7.8,25,75,80,good
B65,7.2,6.3,25,75,60,normal
B66,7.1,7.8,25,75,80,good
B67,7.2,6.5,25,75,60,normal
B68,7.2,8,25,75,80,good
B69,7.2,7.9,25,75,80,good
B69,7,7.4,25,75,70,normal
B70,7,4,25,75,20,very bad
B70,7.3,8.5,25,75,90,very good
B71,7.1,7.3,25,75,70,normal
B71,7.2,7.5,25,75,70,normal
B72,7,8,25,75,80,good
B73,7,7.7,25,75,80,good
B74,7,7.5,25,75,78,good
B74,7.5,5.2,25,75,40,bad
B75,7,7.8,25,75,80,good
B75,7.3,7.2,25,75,70,normal
B76,7.2,7.7,25,75,70,normal
B77,7,7.3,25,75,70,normal
B77,7.5,9,25,75,100,very good
B78,7,7.2,25,75,70,normal
B78,7.2,7.5,25,75,70,normal
B79,7,8.7,25,75,100,very good
B79,7.5,4.7,25,75,30,very bad
B80,7,7.8,25,75,80,good
B80,7,6.2,25,75,60,normal
B81,7,5.8,25,75,50,bad
B81,7,9,25,75,100,very good
B82,7,5.5,25,75,48,bad
B82,7.2,5.8,25,75,50,bad
B83,7.6,7.8,25,75,78,good
B84,7,8.3,25,75,90,good
B84,7.4,4.8,25,75,30,very bad
B85,7,6.8,25,75,60,normal
B85,7.3,6.8,25,75,60,normal
B86,7.1,6.5,25,75,60,normal
B86,7.2,7.5,25,75,70,normal
B87,7.8,3.6,25,75,0,faile
B88,7,9,25,75,100,very good
B88,7.5,4,25,75,20,very bad
B89,7,7.2,25,75,70,normal
B90,7,7.2,25,75,70,normal
B90,7.2,7.5,25,75,70,normal
B91,7,6.8,25,75,60,normal
B91,7.3,6.2,25,75,50,bad
B92,7.4,9.5,25,75,120,very good
B93,7,8,25,75,90,good
B94,7,6.8,25,75,60,normal
B94,7.4,6,25,75,50,bad
B95,7.2,7,25,75,70,normal
B96,7,4.7,25,75,30,very bad
B96,7,6.2,25,75,50,bad
B97,7.5,3,25,75,0,faile
B98,7,6.2,25,75,50,bad
B98,7.5,4.6,25,75,30,very bad
B99,7,8,25,75,80,good
B99,7.2,5.3,25,75,40,bad
B100,7,6.5,25,75,60,normal
B100,7.3,4.6,25,75,30,very bad
